name,category,description,source,directed,weighted,vertex_type,edge_type,collection,tags,citations,download_url,n_nodes,n_edges,density,max_degree,min_degree,avg_degree,assortativity,n_triangles,avg_triangles,max_triangles,avg_clustering,transitivity,max_kcore,max_clique_lb
2D-27628-bjtcai,misc,"Olaf Schenk, Univ. Basel",Unknown,False,True,Unknown,Unknown,misc,"['semiconductor device problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/2D_27628_bjtcai.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
2cubes-sphere,misc,"FEM, electromagnetics, 2 cubes in a sphere. Evan Um, Geophysics, Stanford",Unknown,False,True,Unknown,Unknown,misc,"['electromagnetics problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/2cubes_sphere.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
3D-28984-Tetra,misc,"Olaf Schenk, Univ. Basel",Unknown,False,True,Unknown,Unknown,misc,"['semiconductor device problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/3D_28984_Tetra.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
2D-54019-highK,misc,"Olaf Schenk, Univ. Basel",Unknown,False,True,Unknown,Unknown,misc,"['semiconductor device problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/2D_54019_highK.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
3D-51448-3D,misc,"Olaf Schenk, Univ. Basel",Unknown,False,True,Unknown,Unknown,misc,"['semiconductor device problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/3D_51448_3D.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
3Dspectralwave2,misc,"3-D spectral-element elastic wave modelling in freq. domain, C. Sinclair, Univ. Adelaide",Unknown,False,True,Unknown,Unknown,misc,"['materials problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/3Dspectralwave2.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
3Dspectralwave,misc,"3-D spectral-element elastic wave modelling in freq. domain, C. Sinclair, Univ. Adelaide",Unknown,False,True,Unknown,Unknown,misc,"['materials problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/3Dspectralwave.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
3dtube,misc,3-D pressure tube,Unknown,False,True,Unknown,Unknown,misc,['computational fluid dynamics problem'],"['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/3dtube.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
3elt-dual,misc,2D finite element problem,Unknown,False,True,Unknown,Unknown,misc,['2D/3D problem'],"['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",https://nrvis.com/./download/data/misc/3elt_dual.zip,9000,13300,0.000327888,3,2,2.0,-0.0206146,0,0.0,0,0.0,0.0,3,2
3elt,misc,2D finite element problem,Unknown,False,True,Unknown,Unknown,misc,['2D/3D problem'],"['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",https://nrvis.com/./download/data/misc/3elt.zip,4700,13700,0.00123213,9,3,5.0,0.310699,27000,5.0,9,0.411055,0.402235,5,3
494-bus,misc,"S ADMITTANCE MATRIX  494 BUS POWER SYSTEM, D.J.TYLAVSKY, JULY 1985.",Unknown,False,True,Unknown,Unknown,misc,"['power network problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",https://nrvis.com/./download/data/misc/494_bus.zip,494,586,0.00481231,9,1,2.0,-0.0739442,63,0.0,3,0.0419735,0.0484243,3,3
598a,misc,DIMACS10 set,Unknown,False,True,Unknown,Unknown,misc,['undirected graph'],"['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",https://nrvis.com/./download/data/dimacs10/598a.zip,111000,741900,0.000120498,26,5,13.0,0.335207,3900000,34.0,79,0.425972,0.400477,9,7
662-bus,misc,"S ADMITTANCE MATRIX  662 BUS POWER SYSTEM, D.J.TYLAVSKY, JULY 1985.",Unknown,False,True,Unknown,Unknown,misc,"['power network problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",https://nrvis.com/./download/data/misc/662_bus.zip,662,906,0.00414094,9,1,2.0,-0.0696221,177,0.0,9,0.0461792,0.0768563,5,4
685-bus,misc,"S ADMITTANCE MATRIX  685 BUS POWER SYSTEM, D.J.TYLAVSKY, JULY 1985.",Unknown,False,True,Unknown,Unknown,misc,"['power network problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",https://nrvis.com/./download/data/misc/685_bus.zip,685,1300,0.00547232,12,1,3.0,0.181204,990,1.0,19,0.172478,0.214471,6,5
ABACUS-shell-hd,misc,ABAQUS benchmark,Unknown,False,True,Unknown,Unknown,misc,"['model reduction problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/ABACUS_shell_hd.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
ABACUS-shell-md,misc,ABAQUS benchmark,Unknown,False,True,Unknown,Unknown,misc,"['model reduction problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/ABACUS_shell_md.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
ABACUS-shell-ld,misc,ABAQUS benchmark,Unknown,False,True,Unknown,Unknown,misc,"['model reduction problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/ABACUS_shell_ld.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
ABACUS-shell-ud,misc,ABAQUS benchmark,Unknown,False,True,Unknown,Unknown,misc,"['model reduction problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/ABACUS_shell_ud.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
ASIC-100k,misc,"Sandia, Xyce circuit simulation matrix (stripped)",Unknown,False,True,Unknown,Unknown,misc,"['circuit simulation problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/ASIC_100k.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
ASIC-100ks,misc,"Sandia, Xyce circuit simulation matrix (base)",Unknown,False,True,Unknown,Unknown,misc,"['circuit simulation problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/ASIC_100ks.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
ASIC-320ks,misc,"Sandia, Xyce circuit simulation matrix (base)",Unknown,False,True,Unknown,Unknown,misc,"['circuit simulation problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/ASIC_320ks.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
ASIC-680k,misc,"Sandia, Xyce circuit simulation matrix (stripped)",Unknown,False,True,Unknown,Unknown,misc,"['circuit simulation problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/ASIC_680k.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
ASIC-320k,misc,"Sandia, Xyce circuit simulation matrix (stripped)",Unknown,False,True,Unknown,Unknown,misc,"['circuit simulation problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/ASIC_320k.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
ASIC-680ks,misc,"Sandia, Xyce circuit simulation matrix (base)",Unknown,False,True,Unknown,Unknown,misc,"['circuit simulation problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/ASIC_680ks.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
Alemdar,misc,"Finite-element matrix from Bulent Alemdar, RAM International.",Unknown,False,True,Unknown,Unknown,misc,"['2D/3D problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",https://nrvis.com/./download/data/misc/Alemdar.zip,6200,18200,0.000931841,9,0,5.0,0.594221,40600,6.0,12,0.294047,0.386456,6,4
Chebyshev1,misc,"Integration matrix, Chebyshev method, 4th order semilinear initial BVP",Unknown,False,True,Unknown,Unknown,misc,"['structural problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",https://nrvis.com/./download/data/misc/Chebyshev1.zip,261,2100,0.0606543,264,8,15.0,-0.319049,20000,76.0,2200,0.692939,0.128797,9,8
Chebyshev2,misc,"Integration matrix, Chebyshev method, 4th order semilinear initial BVP",Unknown,False,True,Unknown,Unknown,misc,"['structural problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/Chebyshev2.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
Chem97Zt,misc,"Mixed-effects model from D. Bates, Univ. Wisc.",Unknown,False,True,Unknown,Unknown,misc,['statistical/mathematical problem'],"['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/Chem97Zt.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
D-5,misc,Differentials of the Voronoi complex of perfect forms,Unknown,False,True,Unknown,Unknown,misc,"['combinatorial problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",https://nrvis.com/./download/data/misc/D_5.zip,434,1800,0.0194336,66,0,8.0,-0.302191,1100,2.0,58,0.0663029,0.0364329,8,4
D-11,misc,Differentials of the Voronoi complex of perfect forms,Unknown,False,True,Unknown,Unknown,misc,"['combinatorial problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",https://nrvis.com/./download/data/misc/D_11.zip,460,2900,0.0279246,47,0,12.0,-0.217,3100,6.0,55,0.0633492,0.0527285,10,5
D-8,misc,Differentials of the Voronoi complex of perfect forms,Unknown,False,True,Unknown,Unknown,misc,"['combinatorial problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",https://nrvis.com/./download/data/misc/D_8.zip,1300,14900,0.018544,42,0,23.0,0.122873,8200,6.0,34,0.0223867,0.0224134,17,4
D-7,misc,Differentials of the Voronoi complex of perfect forms,Unknown,False,True,Unknown,Unknown,misc,"['combinatorial problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",https://nrvis.com/./download/data/misc/D_7.zip,1300,12700,0.0157592,70,2,19.0,0.0492425,5900,4.0,74,0.0191132,0.0208587,15,4
D-9,misc,Differentials of the Voronoi complex of perfect forms,Unknown,False,True,Unknown,Unknown,misc,"['combinatorial problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",https://nrvis.com/./download/data/misc/D_9.zip,1100,12400,0.0193347,46,1,21.0,0.0271792,7900,6.0,36,0.024892,0.0260314,15,4
DD,Labeled Networks,This network contains the following comma separated text files:,Unknown,False,False,Unknown,Unknown,Labeled Networks,"['DD', 'labeled network data', 'labeled graph data', 'classification data', 'relational learning', 'relational classification data', 'node classification', 'semi-supervised node classification', 'node labels', 'node label prediction', 'graph classification', 'network classification', 'graph labels', 'network labels', 'network label prediction', 'graph label prediction']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",https://nrvis.com/./download/data/labeled/DD.zip,334900,1700000,3.0062e-05,38,2,10.0,0.391536,7100000,21.0,160,0.413379,0.410832,15,4
DD-g114,misc,,Unknown,False,False,Unknown,Unknown,misc,[],[],https://nrvis.com/./download/data/protein/DD_g114.zip,334,1500,0.0273687,16,2,9.0,0.233945,5400,16.0,52,0.381729,0.39189,9,5
DD-g1167,misc,,Unknown,False,False,Unknown,Unknown,misc,[],[],https://nrvis.com/./download/data/protein/DD_g1167.zip,227,958,0.0373475,16,2,8.0,0.204149,2600,11.0,32,0.334623,0.328619,7,5
DD-g159,misc,,Unknown,False,False,Unknown,Unknown,misc,[],[],https://nrvis.com/./download/data/protein/DD_g159.zip,729,4000,0.0150666,20,4,10.0,0.315421,17800,24.0,72,0.417319,0.410138,9,6
DD-g34,misc,,Unknown,False,False,Unknown,Unknown,misc,[],[],https://nrvis.com/./download/data/protein/DD_g34.zip,220,984,0.0408468,16,2,8.0,0.178081,3600,16.0,52,0.410154,0.421721,9,6
DD-g384,misc,,Unknown,False,False,Unknown,Unknown,misc,[],[],https://nrvis.com/./download/data/protein/DD_g384.zip,418,2000,0.0228334,18,4,9.0,0.269378,7600,18.0,56,0.39315,0.400634,9,6
DD-g289,misc,,Unknown,False,False,Unknown,Unknown,misc,[],[],https://nrvis.com/./download/data/protein/DD_g289.zip,372,1700,0.0252732,16,2,9.0,0.264037,6800,18.0,56,0.409521,0.416317,9,6
DD-g388,misc,,Unknown,False,False,Unknown,Unknown,misc,[],[],https://nrvis.com/./download/data/protein/DD_g388.zip,478,2700,0.0238064,22,4,11.0,0.216247,13100,27.0,72,0.449903,0.424545,9,5
D-6,misc,Differentials of the Voronoi complex of perfect forms,Unknown,False,True,Unknown,Unknown,misc,"['combinatorial problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",https://nrvis.com/./download/data/misc/D_6.zip,969,6500,0.0138231,74,0,13.0,-0.158689,3000,3.0,50,0.0270806,0.0249089,11,5
DD-g883,misc,,Unknown,False,False,Unknown,Unknown,misc,[],[],https://nrvis.com/./download/data/protein/DD_g883.zip,421,2300,0.0265355,20,2,11.0,0.307971,11900,28.0,76,0.474614,0.46406,9,6
DD-g523,misc,,Unknown,False,False,Unknown,Unknown,misc,[],[],https://nrvis.com/./download/data/protein/DD_g523.zip,126,534,0.0678095,16,2,8.0,0.161223,1700,13.0,52,0.385956,0.375165,9,6
DD-g923,misc,,Unknown,False,False,Unknown,Unknown,misc,[],[],https://nrvis.com/./download/data/protein/DD_g923.zip,339,1700,0.029708,18,2,10.0,0.265055,7800,22.0,56,0.47336,0.457453,9,5
Dubcova1,misc,"Univ. Texas at El Paso, from a PDE solver",Unknown,False,True,Unknown,Unknown,misc,"['2D/3D problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/Dubcova1.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
