algorithm,dataset,backend,execution_time,memory_used,num_nodes,num_edges,is_directed,is_weighted,category,description,source,vertex_type,edge_type,collection,tags,citations,density,max_degree,min_degree,avg_degree,assortativity,n_triangles,avg_triangles,max_triangles,avg_clustering,transitivity,max_kcore,max_clique_lb
all_pairs_shortest_path_length,jazz,networkx,0.000637,0.02,198,2742,False,True,misc,jazz muscicians network,http://nrvis.com/./download/data/misc/jazz.zip,Unknown,Unknown,misc,"['undirected multigraph', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_pairs_shortest_path_length,jazz,networkx,0.000637,0.02,198,2742,False,True,misc,jazz muscicians network,http://nrvis.com/./download/data/misc/jazz.zip,Unknown,Unknown,misc,"['undirected multigraph', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_pairs_shortest_path_length,jazz,nx_parallel,0.000036,0.00,198,2742,False,True,misc,jazz muscicians network,http://nrvis.com/./download/data/misc/jazz.zip,Unknown,Unknown,misc,"['undirected multigraph', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_pairs_shortest_path_length,jazz,nx_parallel,0.000036,0.00,198,2742,False,True,misc,jazz muscicians network,http://nrvis.com/./download/data/misc/jazz.zip,Unknown,Unknown,misc,"['undirected multigraph', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_pairs_shortest_path_length,jazz,nx_parallel,0.000037,0.00,198,2742,False,True,misc,jazz muscicians network,http://nrvis.com/./download/data/misc/jazz.zip,Unknown,Unknown,misc,"['undirected multigraph', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_pairs_shortest_path_length,jazz,nx_parallel,0.000037,0.00,198,2742,False,True,misc,jazz muscicians network,http://nrvis.com/./download/data/misc/jazz.zip,Unknown,Unknown,misc,"['undirected multigraph', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_pairs_shortest_path_length,powerlaw_cluster,networkx,0.000765,0.02,50000,99996,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,powerlaw_cluster,networkx,0.000765,0.02,50000,99996,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,powerlaw_cluster,networkx,0.000622,0.02,50000,99996,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,powerlaw_cluster,networkx,0.000622,0.02,50000,99996,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,powerlaw_cluster,nx_parallel,0.000042,0.00,50000,99996,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,powerlaw_cluster,nx_parallel,0.000042,0.00,50000,99996,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,powerlaw_cluster,nx_parallel,0.000040,0.00,50000,99996,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,powerlaw_cluster,nx_parallel,0.000040,0.00,50000,99996,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,watts_strogatz_medium,networkx,0.000655,0.02,10000,30000,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,watts_strogatz_medium,networkx,0.000655,0.02,10000,30000,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,watts_strogatz_medium,networkx,0.000506,0.02,10000,30000,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,watts_strogatz_medium,networkx,0.000506,0.02,10000,30000,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,watts_strogatz_medium,nx_parallel,0.000039,0.00,10000,30000,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,watts_strogatz_medium,nx_parallel,0.000039,0.00,10000,30000,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,watts_strogatz_medium,nx_parallel,0.000067,0.00,10000,30000,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,watts_strogatz_medium,nx_parallel,0.000067,0.00,10000,30000,False,False,,,,,,,,,,,,,,,,,,,,
